"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2020","60.07","58.75","60.70","58.70","11.07M","3.16%"
"06/11/2020","60.20","62.95","66.68","58.82","32.09M","0.22%"
"06/12/2020","62.00","62.35","63.63","60.29","14.74M","2.99%"
"06/15/2020","66.57","65.90","66.98","63.42","19.34M","7.37%"
"06/16/2020","64.34","66.31","66.36","62.68","16.54M","-3.35%"
"06/17/2020","63.31","63.61","65.85","62.59","13.62M","-1.60%"
"06/18/2020","64.95","62.76","65.38","62.64","10.91M","2.59%"
"06/19/2020","66.35","64.99","66.45","64.01","16.08M","2.16%"
"06/22/2020","64.75","65.78","66.25","62.16","13.59M","-2.41%"
"06/23/2020","62.94","64.10","65.05","62.75","12.36M","-2.80%"
"06/24/2020","64.84","63.23","66.07","63.21","14.38M","3.02%"
"06/25/2020","62.00","66.99","66.99","58.61","26.91M","-4.38%"
"06/26/2020","61.28","60.71","62.29","59.14","13.87M","-1.16%"
"06/29/2020","62.08","61.85","62.99","59.41","8.07M","1.31%"
"06/30/2020","64.21","62.10","65.15","61.97","11.96M","3.43%"
"07/01/2020","61.59","63.00","63.73","59.12","17.92M","-4.08%"
"07/02/2020","58.57","60.00","61.80","55.81","26.54M","-4.90%"
"07/06/2020","59.15","58.55","60.72","57.15","9.98M","0.99%"
"07/07/2020","61.09","58.80","61.50","57.44","8.90M","3.28%"
"07/08/2020","61.58","60.93","62.43","59.48","7.59M","0.80%"
"07/09/2020","64.97","62.09","65.35","58.88","20.52M","5.51%"
"07/10/2020","62.61","64.60","64.90","62.33","7.41M","-3.63%"
"07/13/2020","71.78","64.03","77.70","63.98","56.62M","14.65%"
"07/14/2020","75.04","73.95","76.91","70.65","38.71M","4.54%"
"07/15/2020","80.22","87.84","88.21","78.07","90.76M","6.90%"
"07/16/2020","81.81","80.78","84.25","79.79","27.28M","1.98%"
"07/17/2020","94.85","83.35","95.21","82.61","103.51M","15.94%"
"07/20/2020","82.68","87.86","90.85","78.05","78.39M","-12.83%"
"07/21/2020","80.86","80.66","82.40","79.13","26.19M","-2.20%"
"07/22/2020","83.22","79.75","84.10","79.13","27.27M","2.92%"
"07/23/2020","75.33","82.58","82.58","72.66","29.29M","-9.48%"
"07/24/2020","73.21","69.05","73.90","66.54","27.80M","-2.81%"
"07/27/2020","79.91","80.61","80.79","76.21","44.71M","9.15%"
"07/28/2020","81.49","81.07","83.80","79.54","32.95M","1.98%"
"07/29/2020","79.51","81.98","82.82","76.55","24.45M","-2.43%"
"07/30/2020","77.63","77.76","79.22","76.84","13.10M","-2.36%"
"07/31/2020","74.10","78.20","78.44","73.60","14.22M","-4.55%"
"08/03/2020","77.98","74.93","77.98","73.05","13.38M","5.24%"
"08/04/2020","78.46","77.86","78.61","75.53","10.13M","0.62%"
"08/05/2020","75.80","77.01","77.17","73.71","19.86M","-3.39%"
"08/06/2020","73.76","75.90","76.20","73.12","11.69M","-2.69%"
"08/07/2020","74.10","74.38","75.39","73.01","8.77M","0.46%"
"08/10/2020","72.01","74.27","74.88","71.42","8.68M","-2.82%"
"08/11/2020","68.97","69.23","71.33","67.16","18.12M","-4.22%"
"08/12/2020","69.52","75.41","75.41","68.31","50.47M","0.80%"
"08/13/2020","67.83","69.18","69.18","67.11","15.06M","-2.43%"
"08/14/2020","69.15","68.06","70.36","67.86","12.80M","1.95%"
"08/17/2020","69.76","69.15","70.73","68.45","8.75M","0.88%"
"08/18/2020","67.03","68.29","69.60","65.30","11.33M","-3.91%"
"08/19/2020","68.00","66.68","69.11","66.68","8.56M","1.45%"
"08/20/2020","67.81","67.60","68.00","66.64","6.35M","-0.28%"
"08/21/2020","66.45","67.50","68.02","65.60","6.94M","-2.01%"
"08/24/2020","64.88","67.15","67.85","62.88","13.14M","-2.36%"
"08/25/2020","66.25","64.32","66.70","63.55","7.80M","2.11%"
"08/26/2020","70.50","67.62","71.64","66.03","28.77M","6.42%"
"08/27/2020","68.03","69.98","70.32","67.01","9.26M","-3.50%"
"08/28/2020","67.49","68.04","68.95","67.15","6.38M","-0.79%"
"08/31/2020","64.89","67.14","67.20","62.54","15.27M","-3.85%"
"09/01/2020","63.32","63.54","64.50","62.50","8.20M","-2.42%"
"09/02/2020","64.72","62.84","64.89","61.38","9.87M","2.21%"
"09/03/2020","64.84","65.65","69.35","64.30","14.31M","0.19%"
"09/04/2020","62.60","64.99","65.00","59.01","11.65M","-3.45%"
"09/08/2020","54.34","57.75","58.60","54.21","17.71M","-13.19%"
"09/09/2020","56.90","56.03","57.19","54.51","9.36M","4.71%"
"09/10/2020","57.56","57.04","60.32","56.87","7.99M","1.16%"
